sector,indicator,country,year,variable,value,unit
Agriculture,Agriculture activity (meat): consumption,ZA,2020,projected_current_policy_max,317.51,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ZA,2025,projected_current_policy_max,318.27,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,ZA,2020,projected_current_policy_min,0.147,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,ZA,2025,projected_current_policy_min,0.1454,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,ZA,2020,projected_current_policy_max,0.147,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,ZA,2025,projected_current_policy_max,0.1454,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2020,projected_current_policy_min,657.39,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2025,projected_current_policy_min,642.21,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2020,projected_current_policy_max,657.39,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2025,projected_current_policy_max,642.21,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,AR,2020,projected_current_policy_min,0.365,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,AR,2025,projected_current_policy_min,0.374,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,AR,2020,projected_current_policy_max,0.365,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,AR,2025,projected_current_policy_max,0.374,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,MX,2020,projected_current_policy_min,319.67,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,MX,2025,projected_current_policy_min,326.19,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,MX,2020,projected_current_policy_max,319.67,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,MX,2025,projected_current_policy_max,326.19,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,MX,2020,projected_current_policy_min,0.147,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,MX,2025,projected_current_policy_min,0.152,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,MX,2020,projected_current_policy_max,0.147,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,MX,2025,projected_current_policy_max,0.152,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,RU,2020,projected_current_policy_min,333.9183355,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,RU,2025,projected_current_policy_min,345.5878212,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,RU,2020,projected_current_policy_max,333.9183355,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,RU,2025,projected_current_policy_max,345.5878212,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,RU,2020,projected_current_policy_min,0.2009,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,RU,2025,projected_current_policy_min,0.21,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,RU,2020,projected_current_policy_max,0.2009,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,RU,2025,projected_current_policy_max,0.21,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2020,projected_current_policy_min,513.64,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2025,projected_current_policy_min,537.61,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2020,projected_current_policy_max,513.64,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2025,projected_current_policy_max,537.61,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,CN,2020,projected_current_policy_min,0.176,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,CN,2025,projected_current_policy_min,0.186,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,CN,2020,projected_current_policy_max,0.176,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,CN,2025,projected_current_policy_max,0.186,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,US,2020,projected_current_policy_min,485.4,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,US,2025,projected_current_policy_min,486.74,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,US,2020,projected_current_policy_max,485.4,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,US,2025,projected_current_policy_max,486.74,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,US,2020,projected_current_policy_min,0.4,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,US,2025,projected_current_policy_min,0.404,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,US,2020,projected_current_policy_max,0.4,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,US,2025,projected_current_policy_max,0.404,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2020,projected_current_policy_min,496.95,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2025,projected_current_policy_min,505.21,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2020,projected_current_policy_max,496.95,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2025,projected_current_policy_max,505.21,meat kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2020,projected_current_policy_min,2954.333333,kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2025,projected_current_policy_min,2918.666667,kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2030,projected_current_policy_min,3090,kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2050,projected_current_policy_min,3200,kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2020,projected_current_policy_max,2954.333333,kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2025,projected_current_policy_max,2918.666667,kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2030,projected_current_policy_max,3090,kcal / cap / day
Agriculture,Agriculture activity (total): consumption,BR,2050,projected_current_policy_max,3200,kcal / cap / day
Agriculture,Agriculture activity (meat): production,BR,2020,projected_current_policy_min,0.393,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,BR,2025,projected_current_policy_min,0.401,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,BR,2020,projected_current_policy_max,0.393,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,BR,2025,projected_current_policy_max,0.401,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,TR,2020,projected_current_policy_min,147.8,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,TR,2025,projected_current_policy_min,152.67,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,TR,2020,projected_current_policy_max,147.8,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,TR,2025,projected_current_policy_max,152.67,meat kcal / cap / day
Agriculture,Agriculture activity (meat): production,TR,2020,projected_current_policy_min,0.117,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,TR,2025,projected_current_policy_min,0.121,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,TR,2020,projected_current_policy_max,0.117,meat kg / cap / day
Agriculture,Agriculture activity (meat): production,TR,2025,projected_current_policy_max,0.121,meat kg / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1990,historic,504,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1991,historic,523,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1992,historic,538,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1993,historic,580,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1994,historic,565,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1995,historic,525,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1996,historic,504,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1997,historic,511,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1998,historic,530,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,1999,historic,570,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2000,historic,563,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2001,historic,536,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2002,historic,462,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2003,historic,481,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2004,historic,502,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2005,historic,515,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2006,historic,535,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2007,historic,540,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2008,historic,552,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2009,historic,563,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2010,historic,566,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2011,historic,587,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2012,historic,593,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AR,2013,historic,605,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1990,historic,500,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1991,historic,486,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1992,historic,484,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1993,historic,480,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1994,historic,481,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1995,historic,467,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1996,historic,455,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1997,historic,455,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1998,historic,473,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,1999,historic,466,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2000,historic,476,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2001,historic,461,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2002,historic,468,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2003,historic,488,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2004,historic,453,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2005,historic,485,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2006,historic,470,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2007,historic,504,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2008,historic,465,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2009,historic,459,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2010,historic,458,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2011,historic,486,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2012,historic,478,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,AU,2013,historic,476,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1990,historic,216,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1991,historic,235,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1992,historic,238,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1993,historic,243,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1994,historic,261,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1995,historic,301,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1996,historic,303,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1997,historic,318,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1998,historic,327,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,1999,historic,347,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2000,historic,357,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2001,historic,348,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2002,historic,360,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2003,historic,371,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2004,historic,376,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2005,historic,338,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2006,historic,359,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2007,historic,373,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2008,historic,394,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2009,historic,391,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2010,historic,411,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2011,historic,427,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2012,historic,430,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,BR,2013,historic,449,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1990,historic,347,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1991,historic,343,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1992,historic,352,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1993,historic,348,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1994,historic,361,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1995,historic,356,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1996,historic,347,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1997,historic,350,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1998,historic,372,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,1999,historic,389,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2000,historic,386,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2001,historic,389,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2002,historic,385,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2003,historic,377,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2004,historic,381,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2005,historic,363,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2006,historic,364,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2007,historic,378,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2008,historic,370,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2009,historic,362,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2010,historic,355,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2011,historic,355,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2012,historic,359,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CA,2013,historic,352,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1990,historic,236,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1991,historic,233,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1992,historic,247,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1993,historic,275,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1994,historic,299,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1995,historic,317,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1996,historic,328,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1997,historic,339,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1998,historic,349,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,1999,historic,345,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2000,historic,357,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2001,historic,362,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2002,historic,352,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2003,historic,362,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2004,historic,371,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2005,historic,378,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2006,historic,410,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2007,historic,426,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2008,historic,428,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2009,historic,405,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2010,historic,413,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2011,historic,420,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2012,historic,434,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CL,2013,historic,449,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1990,historic,214,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1991,historic,227,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1992,historic,243,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1993,historic,257,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1994,historic,276,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1995,historic,290,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1996,historic,291,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1997,historic,308,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1998,historic,328,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,1999,historic,337,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2000,historic,356,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2001,historic,355,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2002,historic,362,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2003,historic,378,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2004,historic,379,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2005,historic,391,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2006,historic,404,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2007,historic,411,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2008,historic,428,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2009,historic,443,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2010,historic,455,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2011,historic,453,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2012,historic,472,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CN,2013,historic,483,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1990,historic,136,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1991,historic,138,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1992,historic,143,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1993,historic,141,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1994,historic,141,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1995,historic,143,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1996,historic,145,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1997,historic,140,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1998,historic,140,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,1999,historic,148,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2000,historic,142,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2001,historic,143,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2002,historic,133,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2003,historic,138,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2004,historic,140,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2005,historic,144,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2006,historic,153,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2007,historic,167,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2008,historic,165,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2009,historic,169,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2010,historic,167,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2011,historic,164,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2012,historic,163,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,CR,2013,historic,168,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,1993,historic,40,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,1994,historic,38,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,1995,historic,37,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,1996,historic,39,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,1997,historic,38,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,1998,historic,38,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,1999,historic,39,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2000,historic,38,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2001,historic,39,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2002,historic,44,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2003,historic,42,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2004,historic,42,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2005,historic,42,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2006,historic,45,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2007,historic,44,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2008,historic,44,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2009,historic,42,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2010,historic,46,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2011,historic,43,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2012,historic,38,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,ET,2013,historic,37,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1990,historic,405,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1991,historic,404,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1992,historic,403,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1993,historic,396,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1994,historic,387,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1995,historic,385,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1996,historic,390,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1997,historic,382,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1998,historic,401,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,1999,historic,396,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2000,historic,394,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2001,historic,391,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2002,historic,393,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2003,historic,392,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2004,historic,382,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2005,historic,382,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2006,historic,380,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2007,historic,383,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2008,historic,383,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2009,historic,384,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2010,historic,383,meat kcal / cap / day
Agriculture,Agriculture activity (meat): consumption,EU,2011,historic,379,meat kcal / cap / day
