Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
France,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Gambia,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Germany,Overview,Summary of Commitment,,,lts_target,"80-95% reduction from 1990 levels by 2050 with the objective of reaching ""extensive GHG neutrality by 2050""",LTS,Quantified Long-term Emissions Goal
Guatemala,Overview,Summary of Commitment,,,lts_target,59% reduction from BAU by 2050,LTS,Quantified Long-term Emissions Goal
Hungary,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Iceland,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2040,LTS,Quantified Long-term Emissions Goal
Indonesia,Overview,Summary of Commitment,,,lts_target,"Reach 540 MtCO2e by 2050, with further exploration of ""the opportunity to rapidly progress towards net-zero emissions in 2060.""",LTS,Quantified Long-term Emissions Goal
Japan,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Latvia,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Lithuania,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Luxembourg,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Macedonia,Overview,Summary of Commitment,,,lts_target,72% reduction from 1990 levels by 2050,LTS,Quantified Long-term Emissions Goal
Malta,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Marshall Islands,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by no later than 2050,LTS,Quantified Long-term Emissions Goal
Mexico,Overview,Summary of Commitment,,,lts_target,50% reduction from 2000 levels by 2050,LTS,Quantified Long-term Emissions Goal
Morocco,Overview,Summary of Commitment,,,lts_target,Climate neutrality this century,LTS,Quantified Long-term Emissions Goal
Nepal,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2045,LTS,Quantified Long-term Emissions Goal
Netherlands,Overview,Summary of Commitment,,,lts_target,95% reduction from 1990 levels by 2050,LTS,Quantified Long-term Emissions Goal
New Zealand,Overview,Summary of Commitment,,,lts_target,Net-zero long-lived gases by 2050 and a 24–47% reduction in biogenic methane by 2050,LTS,Quantified Long-term Emissions Goal
Nigeria,Overview,Summary of Commitment,,,lts_target,50% reduction from current levels by 2050 and net-zero emissions between 2050 and 2070,LTS,Quantified Long-term Emissions Goal
Norway,Overview,Summary of Commitment,,,lts_target,80-95% reduction from 1990 levels by 2050,LTS,Quantified Long-term Emissions Goal
Portugal,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Russia,Overview,Summary of Commitment,,,lts_target,80% reduction from 1990 levels by 2050,LTS,Quantified Long-term Emissions Goal
Singapore,Overview,Summary of Commitment,,,lts_target,Net-zero emissions “as soon as viable in the second half of the century”,LTS,Quantified Long-term Emissions Goal
Slovakia,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Slovenia,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
South Africa,Overview,Summary of Commitment,,,lts_target,"“According to South Africa’s LTS, “in the absence of an agreed quantitative articulation of the vision, the national GHG emissions trajectory, as reflected in the National Climate Change Response Policy . . . is used as the benchmark against which the performance of [the strategy] will be measured. . . From 2036 onwards, emissions will decline in absolute terms to a range with a lower limit of 212 MtCO2e and an upper limSpit of 428 MtCO2e by 2050.”",LTS,Quantified Long-term Emissions Goal
South Korea,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Spain,Overview,Summary of Commitment,,,lts_target,Climate neutrality by 2050,LTS,Quantified Long-term Emissions Goal
Sweden,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2045,LTS,Quantified Long-term Emissions Goal
Switzerland,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2050,LTS,Quantified Long-term Emissions Goal
Thailand,Overview,Summary of Commitment,,,lts_target,"Net-zero emissions ""as early as possible within the second half of this century""",LTS,Quantified Long-term Emissions Goal
Tonga,Overview,Summary of Commitment,,,lts_target,Not Stated,LTS,Quantified Long-term Emissions Goal
Ukraine,Overview,Summary of Commitment,,,lts_target,31-34% reduction from 1990 levels by 2050,LTS,Quantified Long-term Emissions Goal
United Kingdom,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2050,LTS,Quantified Long-term Emissions Goal
United States,Overview,Summary of Commitment,,,lts_target,Net-zero emissions by 2050,LTS,Quantified Long-term Emissions Goal
Uruguay,Overview,Summary of Commitment,,,lts_target,Carbon neutrality by 2050,LTS,Quantified Long-term Emissions Goal
